cedula fecha_ingreso empleado sueldo_base horas_extra
1334521 23/12/1999 Juan Castro 60$ 5

12333444 12/12/2012 Carolina Buitriago 90$ 3

13334434 12/12/2012 Julio Castillo 100$ 15

1334523 23/12/1999 Juana archila 160$ 5

12333445 12/12/2012 Daniel Burgos 90$ 3

13334435 12/12/2012 Cesar Guzman 100$ 15

13345266 23/12/1999 Darielsys Maduro 60$ 5

12333474 12/12/2012 Nestor Tovar 90$ 3

13334484 12/12/2012 Carolys Suniaga 100$ 15

13345213 23/12/1999 Hector Gomez 60$ 5

12333447 12/12/2012 Carolina Vargas 90$ 3

13334111 12/12/2012 Julio Mujica 100$ 15

13334456 12/12/2012 Jonh Chancellor 100$ 15
